Zona rural
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
2 - 3
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
3 - 5
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
5 - 7
7 - 10
7 - 10
7 - 10
7 - 10
7 - 10
